Respondent_ID,Segment,Gender,Q1_Age,Q2_Nationality,Q3_Income_Bracket,Q3_Income_AED_Month,Q4_Living_Situation,Q5_Area_Dubai,Q6_Num_Apps_Used,Q7_Monthly_Service_Spend_AED,Q8_Hours_Logistics_Per_Week,Q9_Uses_Laundry,Q9_Uses_Cleaning,Q9_Uses_Carwash,Q9_Uses_Grocery,Q9_Uses_Salon,Q9_Uses_Maintenance,Q9_Uses_Petcare,Q9_Uses_Airport,Q9_Uses_Concierge,Q10_Satisfaction_Current,Q11_Problem_Frequency,Q12_Pain_Score_1to10,Q13_Primary_Frustration,Q14_Importance_One_App,Q15_Freq_Laundry,Q15_Freq_Cleaning,Q15_Freq_Carwash,Q15_Freq_Grocery,Q15_Freq_Salon,Q15_Freq_Maintenance,Q15_Freq_Petcare,Q16_Car_Ownership,Q17_Pet_Ownership,Q18_Subscription_Intent,Q19_WTP_AED_Month,Q19_WTP_Category,Q20_Preferred_Payment,Q21_Rank_Laundry,Q21_Rank_Cleaning,Q21_Rank_Carwash,Q21_Rank_Grocery,Q21_Rank_Salon,Q21_Rank_Maintenance,Q21_Rank_Petcare,Q21_Rank_Airport,Q21_Rank_Concierge,Q22_AI_Comfort,Q23_Existing_Subscriptions,Q24_Trust_Driver,Q25_LifeScore,Would_Subscribe
LP0011,Busy Professional,Female,34,British/Western,4,25200.0,Family with kids,Downtown/Business Bay,8,1520.0,4,1,1,0,1,1,1,1,1,0,1,2,9.6,Too many apps to manage,5,4,3,4,2,3,2,1,Family car,No pets,5,250.0,AED 200-299,Monthly subscription,2,0,1,0,3,0,0,0,0,3,3,Verified partners,3,1
LP0012,Nuclear Family,Female,43,Arab,3,15500.0,Family with kids,International City/Al Quoz,8,2580.0,3,1,1,0,0,1,1,0,0,0,3,2,4.6,Unreliable quality/timing,4,4,3,3,3,2,3,3,Own car,No pets,4,350.0,AED 300-399,Monthly subscription,1,2,0,3,0,0,0,0,0,2,3,Verified partners,3,0
LP0013,Busy Professional,Male,22,Filipino,2,8300.0,Living alone,Downtown/Business Bay,8,1070.0,4,1,1,1,0,0,1,0,1,0,2,3,7.2,Too many apps to manage,4,4,3,3,4,3,2,2,Own car,Multiple pets,5,210.0,AED 200-299,Monthly subscription,1,0,0,2,3,0,0,0,0,4,3,Free trial,2,1
LP0014,Busy Professional,Male,30,Indian,2,6500.0,Living alone,JLT/Marina,6,780.0,4,1,0,1,1,1,0,0,1,0,1,3,5.9,No cross-service loyalty,5,5,4,2,4,4,2,2,Own car,Multiple pets,5,130.0,AED 100-199,Monthly subscription,1,2,0,3,0,0,0,0,0,5,1,Peer recommendation,2,1
LP0015,Budget Expat,Female,18,Other,1,3200.0,Living alone,Deira/Bur Dubai,8,570.0,2,1,0,1,0,1,1,1,0,0,3,2,5.3,Too expensive,4,2,3,2,2,2,2,2,No car,No pets,1,90.0,Below AED 100,Pay per use + discount,0,1,3,0,0,2,0,0,0,3,0,Transparent pricing,1,0
LP0016,Busy Professional,Male,41,British/Western,4,25400.0,Couple no kids,Downtown/Business Bay,5,1480.0,3,1,1,1,1,0,1,0,1,0,3,4,5.6,Hard to book and track,4,5,4,4,4,4,3,1,Own car,No pets,4,310.0,AED 300-399,Pay per use + discount,1,0,0,2,3,0,0,0,0,4,3,Free trial,1,1
LP0017,Budget Expat,Male,27,Filipino,2,5200.0,Living alone,International City/Al Quoz,7,480.0,1,0,0,0,0,0,1,0,0,0,3,3,5.0,Too many apps to manage,4,2,2,2,3,3,3,1,Own car,No pets,4,170.0,AED 100-199,Monthly subscription,0,0,0,1,3,2,0,0,0,3,1,Verified partners,2,0
LP0018,Budget Expat,Male,27,Indian,2,8200.0,Flatmates,Palm/Emirates Hills,3,650.0,2,0,0,1,0,1,0,0,0,0,3,4,4.9,No personalisation,5,3,2,3,2,3,1,2,No car,One pet,4,110.0,AED 100-199,Monthly subscription,1,0,3,0,2,0,0,0,0,4,0,Transparent pricing,4,0
LP0019,Busy Professional,Male,35,Filipino,3,15300.0,Couple no kids,Downtown/Business Bay,8,920.0,5,1,1,0,1,1,0,1,1,1,3,3,6.1,Too many apps to manage,5,5,4,4,5,4,3,2,Own car,No pets,4,160.0,AED 100-199,Monthly subscription,2,3,0,1,0,0,0,0,0,4,2,Peer recommendation,2,0
LP0020,Busy Professional,Female,29,Indian,4,22800.0,Couple no kids,Downtown/Business Bay,9,1100.0,4,1,1,1,1,1,0,0,0,0,2,4,9.0,Too many apps to manage,5,3,4,5,5,4,2,2,No car,No pets,5,300.0,AED 300-399,Pay per use + discount,0,0,2,1,3,0,0,0,0,3,3,Data privacy,2,1
LP0021,Premium Resident,Female,45,Indian,4,27500.0,Living alone,Downtown/Business Bay,6,2830.0,4,0,1,1,0,1,1,1,1,1,1,4,7.7,No personalisation,3,5,4,5,2,4,3,2,Own car,One pet,4,340.0,AED 300-399,Annual subscription,2,0,1,0,3,0,0,0,0,2,2,Verified partners,3,1
LP0022,Budget Expat,Male,36,Filipino,4,29000.0,Flatmates,JLT/Marina,6,410.0,3,0,0,0,1,1,0,1,0,0,3,2,5.1,No personalisation,3,2,2,2,5,2,2,1,No car,No pets,2,220.0,AED 200-299,Pay per use + discount,3,2,0,1,0,0,0,0,0,2,0,Peer recommendation,2,0
LP0023,Busy Professional,Female,30,Filipino,1,3900.0,Living alone,Deira/Bur Dubai,9,840.0,3,1,1,1,1,1,0,0,0,0,1,4,9.5,Too many apps to manage,5,5,4,4,4,4,1,2,Own car,No pets,5,200.0,AED 200-299,Monthly subscription,1,0,0,2,3,0,0,0,0,4,2,Free trial,2,1
LP0024,Budget Expat,Female,28,Pakistani,1,3200.0,Flatmates,Other,6,520.0,3,1,0,0,0,0,1,0,0,0,2,2,6.4,Too expensive,4,4,3,2,4,1,1,2,No car,One pet,5,180.0,AED 100-199,Monthly subscription,1,3,0,2,0,0,0,0,0,4,1,Data privacy,4,1
LP0025,Busy Professional,Male,36,Emirati,2,7000.0,Couple no kids,JLT/Marina,7,820.0,3,0,1,1,1,0,1,0,1,0,3,3,8.2,Too many apps to manage,4,5,4,3,5,2,3,1,Family car,One pet,4,100.0,AED 100-199,Annual subscription,1,3,0,2,0,0,0,0,0,4,2,Free trial,1,0
LP0026,Budget Expat,Female,29,Indian,2,8400.0,Couple no kids,International City/Al Quoz,5,390.0,1,1,1,1,1,0,0,0,0,0,4,3,6.7,Hard to book and track,5,2,2,3,4,3,2,1,No car,No pets,1,170.0,AED 100-199,Monthly subscription,0,0,3,1,2,0,0,0,0,1,0,Transparent pricing,3,0
LP0027,Busy Professional,Female,31,Arab,4,28900.0,Flatmates,Downtown/Business Bay,5,1220.0,4,1,1,1,1,0,1,1,0,0,2,4,7.3,No personalisation,4,4,4,3,3,5,4,2,No car,No pets,5,220.0,AED 200-299,Pay per use + discount,3,0,0,0,1,2,0,0,0,4,3,Transparent pricing,3,1
LP0028,Nuclear Family,Female,30,Pakistani,5,38700.0,Family with kids,Downtown/Business Bay,11,1350.0,5,1,1,1,1,1,1,0,0,0,4,4,9.9,Unreliable quality/timing,4,5,4,4,4,3,3,2,Family car,Multiple pets,4,250.0,AED 200-299,Flexible credits,1,3,2,0,0,0,0,0,0,5,3,Verified partners,3,0
LP0029,Budget Expat,Male,31,Filipino,1,4300.0,Couple no kids,International City/Al Quoz,3,320.0,3,1,0,0,1,1,0,0,1,0,2,1,4.8,Too expensive,2,1,3,1,2,4,3,2,Own car,No pets,3,80.0,Below AED 100,Flexible credits,0,2,0,0,1,3,0,0,0,4,3,Peer recommendation,3,0
LP0030,Busy Professional,Female,29,Emirati,1,2500.0,Couple no kids,Deira/Bur Dubai,9,810.0,3,1,1,1,1,1,1,0,1,0,2,4,7.1,Too many apps to manage,4,4,4,4,3,2,2,2,Own car,No pets,3,300.0,AED 300-399,Pay per use + discount,2,3,1,0,0,0,0,0,0,5,1,Verified partners,3,1
LP0031,Budget Expat,Female,34,Indian,2,6400.0,Living alone,Deira/Bur Dubai,6,430.0,2,0,1,1,1,1,0,1,0,1,4,3,4.7,Too many apps to manage,3,2,3,2,4,3,2,1,Own car,Multiple pets,3,80.0,Below AED 100,Pay per use + discount,0,2,0,1,3,0,0,0,0,2,0,Free trial,5,0
LP0032,Premium Resident,Prefer not to say,41,Arab,4,27700.0,Living alone,JLT/Marina,6,5760.0,2,1,1,1,0,1,1,0,0,0,1,1,5.5,Unreliable quality/timing,4,3,4,4,5,4,4,2,Own car,No pets,4,440.0,AED 400-499,Monthly subscription,0,0,2,1,3,0,0,0,0,3,3,Verified partners,5,1
LP0033,Budget Expat,Female,28,Arab,2,9700.0,Couple no kids,International City/Al Quoz,2,450.0,3,1,0,0,1,0,0,0,1,0,2,2,4.7,Too expensive,4,3,2,2,3,3,1,2,No car,No pets,2,140.0,AED 100-199,Pay per use + discount,3,0,0,0,2,0,0,1,0,3,2,Transparent pricing,4,0
LP0034,Nuclear Family,Female,39,Filipino,4,34000.0,Flatmates,Mirdif/Sports City,9,2110.0,4,1,1,1,0,1,0,0,0,1,4,4,6.7,Unreliable quality/timing,4,4,4,3,3,4,2,2,Own car,Multiple pets,5,340.0,AED 300-399,Monthly subscription,3,1,0,0,2,0,0,0,0,4,3,Peer recommendation,4,1
LP0035,Busy Professional,Male,29,Indian,4,25000.0,Living alone,JLT/Marina,7,840.0,3,0,1,1,1,1,0,1,1,1,2,3,8.0,No personalisation,5,4,2,3,4,4,4,2,Own car,No pets,4,350.0,AED 300-399,Annual subscription,1,0,0,3,0,2,0,0,0,5,1,Verified partners,2,1
LP0036,Premium Resident,Male,46,British/Western,4,32500.0,Couple no kids,Downtown/Business Bay,7,5850.0,1,1,1,0,1,1,1,1,1,0,3,4,7.8,No personalisation,4,3,4,5,2,4,4,1,No car,No pets,5,860.0,AED 750+,Annual subscription,0,2,1,0,0,3,0,0,0,4,3,Transparent pricing,4,1
LP0037,Budget Expat,Male,28,Indian,1,3700.0,Couple no kids,International City/Al Quoz,4,350.0,2,0,0,1,1,1,0,0,0,0,3,1,7.4,Too expensive,2,2,3,1,4,2,2,1,No car,No pets,3,170.0,AED 100-199,Pay per use + discount,3,2,0,1,0,0,0,0,0,3,0,Transparent pricing,4,0
LP0038,Premium Resident,Female,29,Indian,3,13400.0,Living alone,Palm/Emirates Hills,7,4510.0,4,1,1,1,1,1,1,1,1,1,2,5,6.3,No cross-service loyalty,5,4,4,3,3,4,4,3,Own car,One pet,5,660.0,AED 500-749,Annual subscription,2,0,0,0,1,3,0,0,0,3,3,Cancellation policy,3,1
LP0039,Budget Expat,Male,31,Pakistani,1,3800.0,Flatmates,International City/Al Quoz,8,570.0,2,1,0,0,1,0,1,0,0,1,2,4,7.0,Too expensive,3,1,1,3,4,2,3,2,No car,One pet,3,130.0,AED 100-199,Monthly subscription,0,0,2,1,0,3,0,0,0,4,0,Transparent pricing,3,0
LP0040,Budget Expat,Male,30,Indian,5,78500.0,Flatmates,Other,4,860.0,2,1,1,0,1,1,1,0,0,0,2,1,5.7,Too many apps to manage,3,4,3,3,2,3,2,2,No car,No pets,3,350.0,AED 300-399,Pay per use + discount,1,0,2,0,3,0,0,0,0,4,1,Free trial,3,1
LP0041,Busy Professional,Male,42,Filipino,3,16500.0,Flatmates,JLT/Marina,6,990.0,5,1,1,1,1,0,0,0,1,1,2,4,6.5,Too many apps to manage,5,5,3,5,3,2,4,2,No car,One pet,5,290.0,AED 200-299,Monthly subscription,2,0,1,0,0,3,0,0,0,4,2,Transparent pricing,2,1
LP0042,Busy Professional,Male,41,Pakistani,4,20100.0,Flatmates,Deira/Bur Dubai,6,790.0,5,1,1,1,1,1,0,1,0,1,2,3,8.0,No personalisation,5,5,2,4,5,2,2,1,Own car,No pets,4,340.0,AED 300-399,Annual subscription,1,0,3,2,0,0,0,0,0,5,3,Peer recommendation,3,1
LP0043,Busy Professional,Male,34,Indian,3,19200.0,Couple no kids,Downtown/Business Bay,9,2150.0,5,1,1,1,0,0,0,0,0,0,2,3,7.2,No cross-service loyalty,4,4,4,4,4,3,1,2,No car,No pets,4,240.0,AED 200-299,Pay per use + discount,3,0,2,1,0,0,0,0,0,5,2,Transparent pricing,1,1
LP0044,Busy Professional,Female,30,Other,3,12300.0,Couple no kids,Downtown/Business Bay,7,890.0,4,1,1,1,1,0,1,0,1,0,2,5,9.0,No personalisation,5,2,4,2,5,3,1,3,Own car,No pets,4,430.0,AED 400-499,Monthly subscription,0,2,0,1,3,0,0,0,0,4,1,Transparent pricing,2,1
LP0045,Busy Professional,Female,37,British/Western,3,13400.0,Couple no kids,Deira/Bur Dubai,8,1170.0,4,1,1,0,1,1,1,1,1,0,2,3,7.8,Too many apps to manage,5,5,4,5,3,2,2,2,No car,No pets,5,300.0,AED 300-399,Annual subscription,2,3,1,0,0,0,0,0,0,5,2,Data privacy,2,1
LP0046,Busy Professional,Female,31,Emirati,5,66900.0,Living alone,Palm/Emirates Hills,11,2080.0,3,1,1,0,1,1,1,0,1,1,2,3,8.2,Too many apps to manage,5,3,3,4,4,3,1,2,Own car,No pets,5,480.0,AED 400-499,Pay per use + discount,0,3,1,2,0,0,0,0,0,5,3,Peer recommendation,2,1
LP0047,Nuclear Family,Male,38,Filipino,3,14000.0,Extended family,Downtown/Business Bay,6,1750.0,4,1,1,0,1,1,1,0,1,0,2,4,5.6,Hard to book and track,3,4,3,4,2,3,3,1,No car,One pet,3,640.0,AED 500-749,Annual subscription,2,3,1,0,0,0,0,0,0,4,2,Cancellation policy,2,1
LP0048,Busy Professional,Prefer not to say,23,British/Western,4,31200.0,Couple no kids,International City/Al Quoz,5,460.0,5,1,1,0,0,1,1,1,1,0,2,5,8.5,Too many apps to manage,4,5,3,4,4,4,3,2,Own car,No pets,5,340.0,AED 300-399,Annual subscription,1,0,2,0,3,0,0,0,0,5,3,Cancellation policy,2,1
LP0049,Busy Professional,Male,33,British/Western,4,24600.0,Couple no kids,JLT/Marina,9,12300.0,4,0,1,0,1,1,1,1,0,0,1,4,7.9,Too many apps to manage,4,4,4,3,5,2,2,2,Own car,One pet,5,270.0,AED 200-299,Annual subscription,3,2,0,1,0,0,0,0,0,4,3,Free trial,2,1
LP0050,Busy Professional,Male,35,Other,3,13200.0,Living alone,JLT/Marina,9,1140.0,3,1,1,1,1,1,0,0,0,0,3,4,7.7,Too many apps to manage,4,3,5,4,5,4,2,1,Own car,Multiple pets,4,230.0,AED 200-299,Annual subscription,0,2,0,1,3,0,0,0,0,5,2,Transparent pricing,2,1
LP0051,Busy Professional,Male,26,British/Western,1,4500.0,Living alone,Mirdif/Sports City,7,930.0,3,1,1,1,1,1,0,0,1,0,3,4,8.8,Unreliable quality/timing,5,3,3,4,5,3,3,4,No car,No pets,5,270.0,AED 200-299,Annual subscription,0,0,3,1,0,0,2,0,0,3,3,Transparent pricing,2,1
LP0052,Nuclear Family,Female,41,Pakistani,3,11700.0,Family with kids,Downtown/Business Bay,6,1840.0,2,1,1,1,1,1,1,0,0,0,2,4,6.0,Too many apps to manage,5,4,4,3,5,1,4,2,Family car,No pets,4,330.0,AED 300-399,Pay per use + discount,2,0,0,1,0,3,0,0,0,4,1,Transparent pricing,3,1
LP0053,Budget Expat,Male,24,Other,3,12700.0,Family with kids,Deira/Bur Dubai,3,470.0,2,0,1,0,1,0,1,0,0,0,3,5,7.3,No personalisation,5,1,3,3,3,1,1,2,Own car,Multiple pets,4,190.0,AED 100-199,Pay per use + discount,0,2,1,3,0,0,0,0,0,4,1,Peer recommendation,5,0
LP0054,Premium Resident,Male,40,Other,5,50400.0,Family with kids,Downtown/Business Bay,7,4110.0,4,1,1,1,1,1,1,0,0,1,3,2,8.8,No cross-service loyalty,4,3,3,4,3,5,2,1,Own car,One pet,5,1070.0,AED 750+,Monthly subscription,0,3,2,0,1,0,0,0,0,4,3,Cancellation policy,1,1
LP0055,Budget Expat,Female,26,Pakistani,2,8000.0,Extended family,Mirdif/Sports City,5,290.0,4,1,1,0,0,0,0,0,0,0,4,1,5.4,Too expensive,3,1,2,2,3,2,1,1,No car,No pets,3,60.0,Below AED 100,Flexible credits,0,3,2,1,0,0,0,0,0,3,1,Data privacy,4,0
LP0056,Busy Professional,Male,35,Pakistani,3,18400.0,Living alone,International City/Al Quoz,8,1310.0,4,1,1,1,1,1,0,0,0,1,4,3,8.1,No personalisation,4,4,4,4,5,3,2,4,Family car,One pet,4,390.0,AED 300-399,Monthly subscription,3,0,2,1,0,0,0,0,0,5,1,Free trial,2,1
LP0057,Busy Professional,Male,31,Filipino,3,12300.0,Extended family,JLT/Marina,5,1870.0,2,1,0,1,1,1,0,1,0,1,1,4,5.5,Unreliable quality/timing,5,3,2,3,5,3,1,2,Own car,No pets,4,350.0,AED 300-399,Monthly subscription,3,0,2,1,0,0,0,0,0,5,1,Free trial,2,1
LP0058,Budget Expat,Male,19,Indian,3,11100.0,Living alone,Deira/Bur Dubai,6,620.0,2,0,1,0,1,1,0,0,0,0,2,2,5.8,Unreliable quality/timing,3,2,4,4,3,2,1,1,Family car,No pets,2,120.0,AED 100-199,Pay per use + discount,0,1,2,3,0,0,0,0,0,3,2,Transparent pricing,3,0
LP0059,Premium Resident,Male,43,British/Western,3,18100.0,Living alone,Downtown/Business Bay,4,3190.0,4,1,1,1,1,1,1,1,1,0,2,4,6.4,Unreliable quality/timing,5,3,5,3,4,5,3,1,No car,No pets,4,570.0,AED 500-749,Monthly subscription,0,2,0,3,1,0,0,0,0,4,3,Peer recommendation,3,1
LP0060,Nuclear Family,Female,39,Indian,3,11900.0,Family with kids,Mirdif/Sports City,7,1230.0,5,1,1,1,1,0,1,0,1,1,3,5,7.2,Too expensive,5,5,5,3,5,3,4,2,Own car,No pets,4,310.0,AED 300-399,Monthly subscription,2,3,0,1,0,0,0,0,0,2,2,Verified partners,3,0
LP0061,Budget Expat,Female,35,Pakistani,3,16100.0,Couple no kids,International City/Al Quoz,3,200.0,1,1,0,0,1,1,1,0,0,0,2,3,4.2,Too expensive,3,3,2,3,2,2,1,1,Own car,No pets,3,100.0,AED 100-199,Monthly subscription,1,0,2,0,3,0,0,0,0,3,0,Free trial,3,0
LP0062,Busy Professional,Female,35,Pakistani,2,5600.0,Living alone,JLT/Marina,4,690.0,4,1,1,1,1,1,0,0,1,1,1,3,8.3,Too many apps to manage,5,3,4,4,4,3,2,2,Own car,Multiple pets,5,300.0,AED 300-399,Annual subscription,0,2,3,1,0,0,0,0,0,4,2,Peer recommendation,3,1
LP0063,Nuclear Family,Male,34,Pakistani,3,17600.0,Family with kids,Mirdif/Sports City,3,2280.0,3,1,1,1,1,0,1,0,1,0,2,5,8.1,Unreliable quality/timing,4,5,3,3,5,4,4,3,Family car,One pet,4,290.0,AED 200-299,Pay per use + discount,2,0,0,1,3,0,0,0,0,3,2,Transparent pricing,3,1
LP0064,Nuclear Family,Male,36,British/Western,3,18100.0,Family with kids,Deira/Bur Dubai,8,1370.0,4,1,1,0,1,0,0,0,1,0,3,4,8.2,Hard to book and track,4,4,5,3,3,3,3,1,Family car,One pet,5,160.0,AED 100-199,Monthly subscription,2,1,3,0,0,0,0,0,0,3,3,Verified partners,2,1
LP0065,Nuclear Family,Male,34,Indian,3,19300.0,Family with kids,Deira/Bur Dubai,5,4190.0,4,0,1,1,1,0,1,1,0,1,3,3,8.1,Too expensive,5,4,4,3,4,3,3,2,Family car,One pet,5,440.0,AED 400-499,Annual subscription,3,2,0,1,0,0,0,0,0,3,3,Data privacy,2,1
LP0066,Premium Resident,Female,42,Indian,5,50100.0,Family with kids,JLT/Marina,5,2400.0,4,1,1,0,1,1,1,1,0,1,3,3,6.3,Hard to book and track,4,4,5,5,4,5,4,3,Own car,Multiple pets,5,400.0,AED 400-499,Annual subscription,0,3,1,0,2,0,0,0,0,4,3,Verified partners,3,1
LP0067,Nuclear Family,Female,43,Indian,3,15100.0,Family with kids,JLT/Marina,5,1610.0,4,1,1,0,0,0,1,1,1,0,2,3,8.0,Too many apps to manage,5,4,4,4,5,2,4,1,Own car,One pet,4,360.0,AED 300-399,Monthly subscription,0,2,0,1,0,3,0,0,0,3,2,Verified partners,2,1
LP0068,Premium Resident,Female,47,Other,4,28700.0,Living alone,JLT/Marina,6,3300.0,2,1,1,1,0,1,1,0,0,1,2,5,7.7,No cross-service loyalty,4,4,3,4,3,3,3,4,Own car,One pet,4,520.0,AED 500-749,Annual subscription,1,0,2,0,0,0,3,0,0,5,3,Transparent pricing,3,1
LP0069,Budget Expat,Male,28,Pakistani,3,16700.0,Flatmates,Mirdif/Sports City,6,430.0,2,1,1,1,0,1,0,0,0,0,4,3,5.2,Hard to book and track,4,2,2,2,4,2,2,1,Family car,No pets,3,280.0,AED 200-299,Flexible credits,3,2,0,1,0,0,0,0,0,4,1,Transparent pricing,2,0
LP0070,Budget Expat,Female,18,Indian,1,4000.0,Living alone,Mirdif/Sports City,8,400.0,3,1,1,0,0,1,1,0,0,0,5,3,4.9,Unreliable quality/timing,5,3,3,3,5,2,1,3,No car,No pets,4,250.0,AED 200-299,Flexible credits,0,3,0,1,0,0,2,0,0,3,1,Verified partners,3,0
LP0071,Nuclear Family,Male,43,Arab,3,15900.0,Family with kids,Deira/Bur Dubai,6,1880.0,2,0,1,0,1,1,1,0,0,0,3,4,8.8,Too expensive,4,5,5,4,3,2,3,3,Own car,One pet,5,500.0,AED 500-749,Annual subscription,2,1,3,0,0,0,0,0,0,3,3,Peer recommendation,3,1
LP0072,Budget Expat,Female,30,Indian,1,3800.0,Flatmates,Deira/Bur Dubai,3,450.0,2,1,0,1,0,0,0,0,0,0,3,3,6.2,Too many apps to manage,4,2,4,4,4,2,2,1,No car,No pets,4,60.0,Below AED 100,Pay per use + discount,0,2,3,1,0,0,0,0,0,4,0,Transparent pricing,3,0
LP0073,Premium Resident,Male,41,Indian,4,30100.0,Family with kids,Other,8,3010.0,3,1,1,1,1,1,1,1,1,1,3,3,7.2,Unreliable quality/timing,5,4,4,4,4,4,2,3,Own car,No pets,5,580.0,AED 500-749,Monthly subscription,0,1,3,2,0,0,0,0,0,4,3,Peer recommendation,3,1
LP0074,Premium Resident,Female,54,Pakistani,5,69000.0,Family with kids,Palm/Emirates Hills,6,8190.0,2,1,1,1,1,1,1,1,1,1,3,2,7.4,Too many apps to manage,4,2,4,4,4,3,4,3,Own car,One pet,5,350.0,AED 300-399,Monthly subscription,0,2,0,1,0,3,0,0,0,3,1,Free trial,2,1
LP0075,Premium Resident,Female,36,Arab,4,26700.0,Family with kids,Downtown/Business Bay,9,2340.0,3,1,1,1,0,1,1,1,1,1,3,2,6.5,No cross-service loyalty,4,3,5,4,3,4,4,2,Own car,No pets,4,500.0,AED 500-749,Annual subscription,0,1,3,0,0,2,0,0,0,5,2,Data privacy,2,1
LP0076,Busy Professional,Male,33,British/Western,3,12200.0,Living alone,JLT/Marina,6,1090.0,5,1,1,0,0,0,0,0,0,1,3,3,7.5,Unreliable quality/timing,4,3,4,4,5,3,4,1,Own car,One pet,5,310.0,AED 300-399,Monthly subscription,0,2,0,1,0,3,0,0,0,3,3,Free trial,2,1
